,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
3693,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
3694,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
3695,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
3696,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
3697,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
3698,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
3699,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
3700,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
3701,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
3702,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
3703,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
3704,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
3705,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
3706,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
3707,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
3708,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
3709,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
3710,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
3711,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
3712,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
3713,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
3714,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
3715,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
3716,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
3717,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
3718,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
3719,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
3720,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
3721,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
3722,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
3723,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
3724,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
3725,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
3726,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
3727,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
3728,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
3729,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
3730,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
3731,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
3732,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
3733,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
3734,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
3735,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
3736,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
3737,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
3738,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
3739,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
3740,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
3741,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
3742,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
3743,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
3744,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
3745,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
3746,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
3747,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
3748,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
3749,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
3750,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
3751,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
3752,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
3753,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
3754,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
3755,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
3756,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
3757,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
3758,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
3759,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
3760,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
3761,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
3762,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
3763,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
3764,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
3765,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
3766,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
3767,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
3768,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
3769,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
3770,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
3771,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
3772,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
3773,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
3774,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
3775,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
3776,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
3777,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
3778,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
3779,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
3780,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
3781,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
3782,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
3783,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
3784,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
3785,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
3786,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
3787,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
3788,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
3789,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
3790,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
3791,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
3792,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
3793,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
3794,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
3795,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
3796,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
3797,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
3798,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
3799,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
3800,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
3801,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
3802,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
3803,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
3804,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
3805,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
3806,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
3807,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
3808,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
3809,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
3810,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
3811,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
